country,#q3,#q4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11_min,q#11_max,q#11_avg,q#11_var,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14_var,q#15_var,q#16_var,population,median_age,#aged_65_older,#aged_70_older,economic_performance,death_rates_due_to_heart_disease,diabetes_prevalance,#of_female_smokers,#of_male_smokers,handwashing_facilities,hospital_beds_per_thousand_people,life_expectancy,human_development_index
Kenya,149219.0,2424.0,0.62,1.56,1.0955851063829791,0.06110525673758868,,,,,,,,,,,,,,,,,21.0,19403.0,3249.715909090909,5238315.553116881,31.0,1564827.0,336887.5581395349,109084305601.74312,0.011,0.192,0.0676446991404012,0.0018847527088891069,5.2,94.8,23.1372492836676,291.1087234462998,569244.0,,569244.0,53771300.0,20.0,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
Kosovo,99210.0,2030.0,0.95,1.38,1.1346825396825388,0.012026556776556802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10704.0,,10704.0,1932774.0,,,,9795.834,,,,,,,,
Kuwait,253066.0,1428.0,0.71,2.42,1.092354430379748,0.0693287065475808,,,,,,,,,,,,,,,,,1990.0,12279.0,5833.806547619048,7126597.004255508,227000.0,2187159.0,1006290.4065281899,316629870984.09924,0.037,0.263,0.13423333333333337,0.003053893718338401,3.8,26.8,9.475151515151515,30.040900432900408,500000.0,38000.0,604861.0,4270563.0,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37.0,,2.0,75.49,0.806
Kyrgyzstan,91144.0,1540.0,0.63,1.62,1.0529100529100521,0.05457241098620414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,2100.0,6524191.0,26.3,4.489,2.882,3393.474,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
Laos,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40732.0,,40732.0,7275556.0,24.4,4.029,2.322,6397.36,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613
Latvia,109731.0,2030.0,0.7,1.78,1.0942930591259659,0.05176631595685476,,,,,2.0,1224.0,251.3559870550162,153173.02870592187,0.989,161.165,66.37943243243242,3650.481081141141,,,,,10.0,24155.0,4950.424757281553,25125382.05515201,116.0,2039575.0,555455.1941747572,321422733115.7967,0.0,0.119,0.034170370370370365,0.0011229238723872383,8.4,5097.9,215.25580246913597,174273.67029421843,168473.0,27294.0,195767.0,1886202.0,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,,5.57,75.29,0.866
Lebanon,504800.0,6809.0,0.73,1.62,1.1172588832487311,0.030821983699512993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198763.0,121860.0,320623.0,6825442.0,31.1,8.514,5.43,13367.565,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
Lesotho,10709.0,315.0,0.27,1.57,0.9235971223021591,0.1303083136378984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142252.0,22.2,4.506,2.647,2851.153,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
Liberia,2042.0,85.0,0.05,1.34,0.7234453781512608,0.13042882636200506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057677.0,19.2,3.057,1.756,752.788,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
Libya,170558.0,2873.0,0.93,1.38,1.1067812499999978,0.016339763910658257,,,,,,,,,,,,,,,,,1.0,7698.0,2364.2603174603173,3732855.2823374798,,,,,0.0,0.268,0.08956024096385541,0.006090829682365828,3.7,965.0,82.3153374233129,34648.164269484216,,,,6871287.0,29.0,4.424,2.816,17881.509,341.862,10.43,,,,3.7,72.91,0.724
